LEA DIRECTORY INFO	164	UTLEADIRECTORYv292063.tab	c029-04292024-1520	2023-2024	
26	49	01	1I	4900166			Utah International Charter School	NO	7	utahinternational.org		8014486414	1167 South 1100 East			SALT LAKE CITY	UT	84105		350 East 3605 South			SOUTH SALT LAKE	UT	84115		1		2023-07-01	CHRTIDEAESEA		
27	49	01	1K	4900183			Vanguard Academy	NO	7			8013278735	2650 South Decker Lake Lane			WEST VALLEY CITY	UT	84119		2650 South Decker Lake Lane			WEST VALLEY CITY	UT	84119		1		2023-07-01	CHRTIDEAESEA		
28	49	01	1L	4900189			Athlos Academy of Utah	NO	7	www.athlosutah.org		8014384619	12309 Mustang Trail Way			HERRIMAN	UT	84096		12309 South Mustang Trail Way			HERRIMAN	UT	84096		1		2023-07-01	CHRTIDEAESEA		
29	49	01	1M	4900198			Advantage Arts Academy	NO	7			8018788622	6171 W 11800 S			HERRIMAN	UT	84096		6171 W 11800 S			HERRIMAN	UT	84096		1		2023-07-01	CHRTIDEAESEA		
30	49	01	20	4900660			North Sanpete District	NO	1	https://www.nsanpete.org/		4354622485	220 E 700 S			MT PLEASANT	UT	84647		220 E 700 S			Mt. Pleasant	UT	84647		1		2023-07-01	NOTCHR		
31	49	01	21	4900690			North Summit District	NO	1	http://www.nsummit.org		4353365654	BOX 497	65 S MAIN		COALVILLE	UT	84017		65 S MAIN	 		Coalville	UT	84017		1		2023-07-01	NOTCHR		
32	49	01	22	4900750			Park City District	NO	1	http://www.pcschools.us		4356455600	2700 KEARNS BLVD			PARK CITY	UT	84060		2700 KEARNS BLVD			Park City	UT	84060		1		2023-07-01	NOTCHR		
33	49	01	23	4900780			Piute District	NO	1	www.piutek12.org		8555772912	P O BOX 69	500 N MAIN		JUNCTION	UT	84740		500 N MAIN	 		Junction	UT	84740		1		2023-07-01	NOTCHR		
34	49	01	24	4900840			Rich District	NO	1	http://www.richschool.org		4357932135	P O BOX 67	25 S 100 W		RANDOLPH	UT	84064		25 S 100 W	25 S 100 W		Randolph	UT	84064		1		2023-07-01	NOTCHR		
35	49	01	25	4900900			San Juan District	NO	1	www.sjsd.org		4356781200	200 N MAIN STREET			BLANDING	UT	84511		200 N MAIN STREET			Blanding	UT	84511		1		2023-07-01	NOTCHR		
36	49	01	26	4900930			Sevier District	NO	1	www.seviersd.org		4358968214	180 E 600 N			RICHFIELD	UT	84701		180 E 600 N			Richfield	UT	84701		1		2023-07-01	NOTCHR		
37	49	01	27	4900960			South Sanpete District	NO	1	www.ssanpete.org		4358352261	39 S MAIN			MANTI	UT	84642		39 S MAIN			Manti	UT	84642		1		2023-07-01	NOTCHR		
38	49	01	28	4900990			South Summit District	NO	1	http://www.ssummit.org		4357834301	285 East 400 South			KAMAS	UT	84036		285 East 400 South			Kamas	UT	84036		1		2023-07-01	NOTCHR		
39	49	01	29	4901020			Tintic District	NO	1	http://www.tintic.k12.ut.us		4354336363	PO BOX 210	545 EAST MAIN		EUREKA	UT	84628		545 EAST MAIN			Eureka	UT	84628		1		2023-07-01	NOTCHR		
40	49	01	2B	4900022			Lincoln Academy	NO	7	http://www.lincoln-academy.org		8017562039	1582 W 3300 N			PLEASANT GROVE	UT	84062		1582 W 3300 N			PLEASANT GROVE	UT	84062		1		2023-07-01	CHRTIDEAESEA		
41	49	01	2C	4900039			Intech Collegiate Academy	NO	7	http://www.intechacademy.org		4357537377	1787 N RESEARCH PARKWAY			NORTH LOGAN	UT	84341		1787 N RESEARCH PARKWAY			NORTH LOGAN	UT	84341		1		2023-07-01	CHRTIDEAESEA		
42	49	01	2D	4900040			Channing Hall	NO	7	http://www.channinghall.org		8015722709	13515 S 150 E	 		DRAPER	UT	84020		13515 S 150 E	 		DRAPER	UT	84020		1		2023-07-01	CHRTIDEAESEA		
43	49	01	2E	4900056			Karl G. Maeser Preparatory Academy	NO	7	http://www.maeserprep.org		8012359000	320 W 600 S			LINDON	UT	84042		320 W 600 S			LINDON	UT	84042		1		2023-07-01	CHRTIDEAESEA		
44	49	01	2F	4900125			Rockwell Charter High School	NO	7	http://www.rockwellhigh.net/		8017897625	3435 E STONEBRIDGE LANE			EAGLE MOUNTAIN	UT	84005		3435 E STONEBRIDGE LANE			EAGLE MOUNTAIN	UT	84005		1		2023-07-01	CHRTIDEAESEA		
45	49	01	2G	4900141			Vista School	NO	7	http://www.vistautah.com		4356734110	585 E CENTER STREET			IVINS	UT	84738		585 E CENTER STREET			IVINS	UT	84738		1		2023-07-01	CHRTIDEAESEA		
46	49	01	2H	4900151			Utah Connections Academy	NO	7	http://www.connectionsacademy.com/utah-school		8003826010	675 E. 2100 South	Plaza 7-21 Suite 270		SALT LAKE CITY	UT	84106		675 E. 2100 South	 		SALT LAKE CITY	UT	84106		1		2023-07-01	CHRTIDEAESEA		
